Week No.,Ending Date,,Ignore,
001,9/9/1979,,1,29107
002,9/16/1979,,2,29114
003,9/23/1979,,3,29121
004,9/30/1979,,4,29128
005,10/7/1979,,5,29135
006,10/14/1979,,6,29142
007,10/21/1979,,7,29149
008,10/28/1979,,8,29156
009,11/4/1979,,9,29163
010,11/11/1979,,10,29170
011,11/18/1979,,11,29177
012,11/25/1979,,12,29184
013,12/2/1979,,13,29191
014,12/9/1979,,14,29198
015,12/16/1979,,15,29205
016,12/23/1979,,16,29212
017,12/30/1979,,17,29219
018,1/6/1980,,18,29226
019,1/13/1980,,19,29233
020,1/20/1980,,20,29240
021,1/27/1980,,21,29247
022,2/3/1980,,22,29254
023,2/10/1980,,23,29261
024,2/17/1980,,24,29268
025,2/24/1980,,25,29275
026,3/2/1980,,26,29282
027,3/9/1980,,27,29289
028,3/16/1980,,28,29296
029,3/23/1980,,29,29303
030,3/30/1980,,30,29310
031,4/6/1980,,31,29317
032,4/13/1980,,32,29324
033,4/20/1980,,33,29331
034,4/27/1980,,34,29338
035,5/4/1980,,35,29345
036,5/11/1980,,36,29352
037,5/18/1980,,37,29359
038,5/25/1980,,38,29366
039,6/1/1980,,39,29373
040,6/8/1980,,40,29380
041,6/15/1980,,41,29387
042,6/22/1980,,42,29394
043,6/29/1980,,43,29401
044,7/6/1980,,44,29408
045,7/13/1980,,45,29415
046,7/20/1980,,46,29422
047,7/27/1980,,47,29429
048,8/3/1980,,48,29436
049,8/10/1980,,49,29443
050,8/17/1980,,50,29450
051,8/24/1980,,51,29457
052,8/31/1980,,52,29464
053,9/7/1980,,53,29471
054,9/14/1980,,54,29478
055,9/21/1980,,55,29485
056,9/28/1980,,56,29492
057,10/5/1980,,57,29499
058,10/12/1980,,58,29506
059,10/19/1980,,59,29513
060,10/26/1980,,60,29520
061,11/2/1980,,61,29527
062,11/9/1980,,62,29534
063,11/16/1980,,63,29541
064,11/23/1980,,64,29548
065,11/30/1980,,65,29555
066,12/7/1980,,66,29562
067,12/14/1980,,67,29569
068,12/21/1980,,68,29576
069,12/28/1980,,69,29583
070,1/4/1981,,70,29590
071,1/11/1981,,71,29597
072,1/18/1981,,72,29604
073,1/25/1981,,73,29611
074,2/1/1981,,74,29618
075,2/8/1981,,75,29625
076,2/15/1981,,76,29632
077,2/22/1981,,77,29639
078,3/1/1981,,78,29646
079,3/8/1981,,79,29653
080,3/15/1981,,80,29660
081,3/22/1981,,81,29667
082,3/29/1981,,82,29674
083,4/5/1981,,83,29681
084,4/12/1981,,84,29688
085,4/19/1981,,85,29695
086,4/26/1981,,86,29702
087,5/3/1981,,87,29709
088,5/10/1981,,88,29716
089,5/17/1981,,89,29723
090,5/24/1981,,90,29730
091,5/31/1981,,91,29737
092,6/7/1981,,92,29744
093,6/14/1981,,93,29751
094,6/21/1981,,94,29758
095,6/28/1981,,95,29765
096,7/5/1981,,96,29772
097,7/12/1981,,97,29779
098,7/19/1981,,98,29786
099,7/26/1981,,99,29793
100,8/2/1981,,100,29800
101,8/9/1981,,101,29807
102,8/16/1981,,102,29814
103,8/23/1981,,103,29821
104,8/30/1981,,104,29828
105,9/6/1981,,105,29835
106,9/13/1981,,106,29842
107,9/20/1981,,107,29849
108,9/27/1981,,108,29856
109,10/4/1981,,109,29863
110,10/11/1981,,110,29870
111,10/18/1981,,111,29877
112,10/25/1981,,112,29884
113,11/1/1981,,113,29891
114,11/8/1981,,114,29898
115,11/15/1981,,115,29905
116,11/22/1981,,116,29912
117,11/29/1981,,117,29919
118,12/6/1981,,118,29926
119,12/13/1981,,119,29933
120,12/20/1981,,120,29940
121,12/27/1981,,121,29947
122,1/3/1982,,122,29954
123,1/10/1982,,123,29961
124,1/17/1982,,124,29968
125,1/24/1982,,125,29975
126,1/31/1982,,126,29982
127,2/7/1982,,127,29989
128,2/14/1982,,128,29996
129,2/21/1982,,129,30003
130,2/28/1982,,130,30010
131,3/7/1982,,131,30017
132,3/14/1982,,132,30024
133,3/21/1982,,133,30031
134,3/28/1982,,134,30038
135,4/4/1982,,135,30045
136,4/11/1982,,136,30052
137,4/18/1982,,137,30059
138,4/25/1982,,138,30066
139,5/2/1982,,139,30073
140,5/9/1982,,140,30080
141,5/16/1982,,141,30087
142,5/23/1982,,142,30094
143,5/30/1982,,143,30101
144,6/6/1982,,144,30108
145,6/13/1982,,145,30115
146,6/20/1982,,146,30122
147,6/27/1982,,147,30129
148,7/4/1982,,148,30136
149,7/11/1982,,149,30143
150,7/18/1982,,150,30150
151,7/25/1982,,151,30157
152,8/1/1982,,152,30164
153,8/8/1982,,153,30171
154,8/15/1982,,154,30178
155,8/22/1982,,155,30185
156,8/29/1982,,156,30192
157,9/5/1982,,157,30199
158,9/12/1982,,158,30206
159,9/19/1982,,159,30213
160,9/26/1982,,160,30220
161,10/3/1982,,161,30227
162,10/10/1982,,162,30234
163,10/17/1982,,163,30241
164,10/24/1982,,164,30248
165,10/31/1982,,165,30255
166,11/7/1982,,166,30262
167,11/14/1982,,167,30269
168,11/21/1982,,168,30276
169,11/28/1982,,169,30283
170,12/5/1982,,170,30290
