Date,Month,Season,IRIweek
1/7/1990,1,winter,540
1/14/1990,1,winter,541
1/21/1990,1,winter,542
1/28/1990,1,winter,543
2/4/1990,2,winter,544
2/11/1990,2,winter,545
2/18/1990,2,winter,546
2/25/1990,2,winter,547
3/4/1990,3,spring,548
3/11/1990,3,spring,549
3/18/1990,3,spring,550
3/25/1990,3,spring,551
4/1/1990,4,spring,552
4/8/1990,4,spring,553
4/15/1990,4,spring,554
4/22/1990,4,spring,555
4/29/1990,4,spring,556
5/6/1990,5,spring,557
5/13/1990,5,spring,558
5/20/1990,5,spring,559
5/27/1990,5,spring,560
6/3/1990,6,summer,561
6/10/1990,6,summer,562
6/17/1990,6,summer,563
6/24/1990,6,summer,564
7/1/1990,7,summer,565
7/8/1990,7,summer,566
7/15/1990,7,summer,567
7/22/1990,7,summer,568
7/29/1990,7,summer,569
8/5/1990,8,summer,570
8/12/1990,8,summer,571
8/19/1990,8,summer,572
8/26/1990,8,summer,573
9/2/1990,9,autumn,574
9/9/1990,9,autumn,575
9/16/1990,9,autumn,576
9/23/1990,9,autumn,577
9/30/1990,9,autumn,578
10/7/1990,10,autumn,579
10/14/1990,10,autumn,580
10/21/1990,10,autumn,581
10/28/1990,10,autumn,582
11/4/1990,11,autumn,583
11/11/1990,11,autumn,584
11/18/1990,11,autumn,585
11/25/1990,11,autumn,586
12/2/1990,12,winter,587
12/9/1990,12,winter,588
12/16/1990,12,winter,589
12/23/1990,12,winter,590
12/30/1990,12,winter,591
1/6/1991,1,winter,592
1/13/1991,1,winter,593
1/20/1991,1,winter,594
1/27/1991,1,winter,595
2/3/1991,2,winter,596
2/10/1991,2,winter,597
2/17/1991,2,winter,598
2/24/1991,2,winter,599
3/3/1991,3,spring,600
3/10/1991,3,spring,601
3/17/1991,3,spring,602
3/24/1991,3,spring,603
3/31/1991,3,spring,604
4/7/1991,4,spring,605
4/14/1991,4,spring,606
4/21/1991,4,spring,607
4/28/1991,4,spring,608
5/5/1991,5,spring,609
5/12/1991,5,spring,610
5/19/1991,5,spring,611
5/26/1991,5,spring,612
6/2/1991,6,summer,613
6/9/1991,6,summer,614
6/16/1991,6,summer,615
6/23/1991,6,summer,616
6/30/1991,6,summer,617
7/7/1991,7,summer,618
7/14/1991,7,summer,619
7/21/1991,7,summer,620
7/28/1991,7,summer,621
8/4/1991,8,summer,622
8/11/1991,8,summer,623
8/18/1991,8,summer,624
8/25/1991,8,summer,625
9/1/1991,9,autumn,626
9/8/1991,9,autumn,627
9/15/1991,9,autumn,628
9/22/1991,9,autumn,629
9/29/1991,9,autumn,630
10/6/1991,10,autumn,631
10/13/1991,10,autumn,632
10/20/1991,10,autumn,633
10/27/1991,10,autumn,634
11/3/1991,11,autumn,635
11/10/1991,11,autumn,636
11/17/1991,11,autumn,637
11/24/1991,11,autumn,638
12/1/1991,12,winter,639
12/8/1991,12,winter,640
12/15/1991,12,winter,641
12/22/1991,12,winter,642
12/29/1991,12,winter,643
1/5/1992,1,winter,644
1/12/1992,1,winter,645
1/19/1992,1,winter,646
1/26/1992,1,winter,647
2/2/1992,2,winter,648
2/9/1992,2,winter,649
2/16/1992,2,winter,650
2/23/1992,2,winter,651
3/1/1992,3,spring,652
3/8/1992,3,spring,653
3/15/1992,3,spring,654
3/22/1992,3,spring,655
3/29/1992,3,spring,656
4/5/1992,4,spring,657
4/12/1992,4,spring,658
4/19/1992,4,spring,659
4/26/1992,4,spring,660
5/3/1992,5,spring,661
5/10/1992,5,spring,662
5/17/1992,5,spring,663
5/24/1992,5,spring,664
5/31/1992,5,spring,665
6/7/1992,6,summer,666
6/14/1992,6,summer,667
6/21/1992,6,summer,668
6/28/1992,6,summer,669
