"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
644,16,0,0,1.19,0,0,0,"ARM","S","RG","SM",0,0,1,"winter",0.31650681869726
644,17,1,0,2.041,1.99,1.99,0,"ARM","S","RG","MD",0,0,1,"winter",1.36486713076342
644,19,2,1,3.102,2.99,2.99,0,"ARM","S","RG","LR",0,0,1,"winter",1.28730605399791
644,20,0,1,6.178,0,0,0,"BNC","S","RG","XL",0,0,1,"winter",0.453913392727332
644,23,1,1,2.821,1.99,2.69,0.7,"BNC","S","RG","MD",0,4,1,"winter",2.59082109786663
644,25,3,0,1.69,1.69,1.69,0,"BNC","S","ST","SM",0,0,1,"winter",1.38674123134808
644,26,1,2,2.818,1.99,2.69,0.7,"BNC","S","ST","MD",0,0,1,"winter",4.2017624247302
644,27,0,1,3.876,0,0,0,"BNC","S","ST","LR",0,0,1,"winter",0.00116781151385537
644,29,2,0,2.821,1.99,2.69,0.7,"BNC","S","UN","MD",4,0,1,"winter",3.77841636833368
644,30,2,2,0.99,0.99,0.99,0,"CLF","S","RG","SM",0,0,1,"winter",1.58107751623102
644,31,0,0,1.29,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.301171524470359
644,32,0,0,1.79,0,0,0,"CLF","S","RG","MD",0,0,1,"winter",0.105775943531892
644,34,0,0,5.218,0,0,0,"DWN","B","RG","XL",0,0,1,"winter",0.330800272769103
644,35,0,0,1.29,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",0.023180373901277
644,36,0,1,1.79,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",-0.0608080199876122
644,37,3,1,3.19,3.19,3.19,0,"DWN","B","RG","MD",4,0,1,"winter",1.58185702334612
644,38,0,0,4.39,0,0,0,"DWN","B","RG","LR",0,0,1,"winter",-0.00638741315078484
644,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,0,1,"winter",0.386395207174732
644,40,0,0,1.767,0,0,0,"DWN","B","LT","SM",0,0,1,"winter",-0.0739535982364787
644,41,0,1,3.19,0,0,0,"DWN","B","LT","MD",0,0,1,"winter",0.0375985206929108
644,42,0,0,4.362,0,0,0,"DWN","B","LT","LR",0,0,1,"winter",0.0555232952721008
644,44,6,6,2.743,2.69,2.69,0,"DWN","F","RG","SM",0,2,1,"winter",3.4972703700169
644,45,1,0,4.905,4.79,4.99,0.2,"DWN","F","RG","MD",0,0,1,"winter",1.93931363427681
644,46,5,2,2.743,2.69,2.69,0,"DWN","F","LT","SM",0,0,1,"winter",2.48805720175649
644,50,0,2,1.89,0,0,0,"DWN","S","RG","SM",0,0,1,"winter",0.179562438879082
644,51,1,1,2.848,2.59,2.59,0,"DWN","S","RG","MD",2,0,1,"winter",1.46931169740422
644,53,0,3,2.848,0,0,0,"DWN","S","LT","MD",0,0,1,"winter",0.151823326293277
644,61,0,0,1.378,0,0,0,"FNT","B","RG","SM",0,0,1,"winter",0.0787102237731556
644,62,5,3,2.509,2.19,2.39,0.2,"FNT","B","RG","MD",0,0,1,"winter",2.88557499025962
644,63,0,0,3.457,0,0,0,"FNT","B","RG","LR",0,0,1,"winter",0.00463470702705071
644,65,2,0,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.34974528689473
644,66,1,1,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.41079747037258
644,72,2,0,1.928,1.89,1.89,0,"GEN","S","UN","LR",0,0,1,"winter",1.34930231189507
644,78,1,0,3.169,2.99,2.99,0,"PRL","B","RG","XL",0,0,1,"winter",1.20628016827374
644,80,0,0,1.109,0,0,0,"PRL","B","RG","SM",0,0,1,"winter",0.0869644478868075
644,82,3,1,1.49,1.49,1.49,0,"PRL","B","RG","MD",0,0,1,"winter",1.31352926851015
644,88,0,0,1.19,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.39037401992052
644,89,0,0,1.672,0,0,0,"PRL","L","LT","MD",0,0,1,"winter",0.260719824628
644,91,3,0,4.184,4.29,4.29,0,"PRL","L","RG","XL",0,0,1,"winter",1.27680004275084
644,93,1,0,1.105,0.89,0.89,0,"PRL","L","RG","MD",0,0,1,"winter",1.13505700728205
644,95,0,1,3.378,0,0,0,"PRL","S","RG","XL",0,3,1,"winter",0.0772188172047787
644,97,6,1,1.177,0.99,0.99,0,"PRL","S","RG","MD",0,0,1,"winter",1.49667839515518
644,99,2,0,2.072,1.99,1.99,0,"PRL","S","RG","LR",0,0,1,"winter",1.35077771529209
644,103,1,0,1.182,0.99,0.99,0,"PRL","S","UN","MD",0,0,1,"winter",1.27984175915191
644,104,0,1,3.99,0,0,0,"SNG","B","RG","XL",0,0,1,"winter",0.162157474446425
