"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
592,16,0,0,1.19,0,0,0,"ARM","S","RG","SM",0,0,1,"winter",0.153415964449114
592,17,1,0,2.041,1.99,1.99,0,"ARM","S","RG","MD",0,0,1,"winter",1.24971764822657
592,19,0,0,3.102,0,0,0,"ARM","S","RG","LR",0,0,1,"winter",-0.286096310704414
592,20,0,0,6.178,0,0,0,"BNC","S","RG","XL",0,0,1,"winter",0.353121318080487
592,23,18,0,2.821,2.39,2.39,0,"BNC","S","RG","MD",0,4,1,"winter",1.58797739008458
592,25,1,0,1.69,1.69,1.69,0,"BNC","S","ST","SM",0,0,1,"winter",1.51509795878166
592,26,6,0,2.818,2.39,2.39,0,"BNC","S","ST","MD",0,4,1,"winter",1.70784643801042
592,27,0,0,3.876,0,0,0,"BNC","S","ST","LR",0,0,1,"winter",-0.108519451109075
592,29,9,0,2.821,2.39,2.39,0,"BNC","S","UN","MD",0,4,1,"winter",1.56698931224853
592,30,0,0,0.99,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.377114024883564
592,31,0,0,1.29,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.265785499294872
592,32,1,0,1.79,1.79,1.79,0,"CLF","S","RG","MD",0,0,1,"winter",1.35120726184762
592,34,1,0,5.218,5.39,5.39,0,"DWN","B","RG","XL",0,0,1,"winter",1.61589756480112
592,35,0,0,1.29,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",-0.0938955598050106
592,36,3,0,1.79,1.79,1.79,0,"DWN","B","RG","SM",0,0,1,"winter",1.47331042063687
592,37,2,0,3.19,3.19,3.19,0,"DWN","B","RG","MD",0,0,1,"winter",1.53622458254371
592,38,0,0,4.39,0,0,0,"DWN","B","RG","LR",0,0,1,"winter",-0.176904075081127
592,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,4,1,"winter",0.311002300490174
592,40,0,0,1.767,0,0,0,"DWN","B","LT","SM",0,0,1,"winter",-0.135593948971231
592,41,4,0,3.19,3.19,3.19,0,"DWN","B","LT","MD",0,0,1,"winter",1.54388283856232
592,42,1,0,4.362,4.39,4.39,0,"DWN","B","LT","LR",0,0,1,"winter",1.35698210962915
592,44,3,0,2.743,2.69,2.69,0,"DWN","F","RG","SM",0,0,1,"winter",2.67713367193423
592,45,0,0,4.905,0,0,0,"DWN","F","RG","MD",4,0,1,"winter",0.260081106230554
592,46,1,0,2.743,2.69,2.69,0,"DWN","F","LT","SM",0,0,1,"winter",2.58905946940724
592,50,0,0,1.89,0,0,0,"DWN","S","RG","SM",0,0,1,"winter",-0.0739125611271798
592,51,0,0,2.848,0,0,0,"DWN","S","RG","MD",0,0,1,"winter",-0.293226757646236
592,53,0,0,2.848,0,0,0,"DWN","S","LT","MD",0,0,1,"winter",-0.139926010140652
592,61,2,0,1.378,1.29,1.29,0,"FNT","B","RG","SM",0,0,1,"winter",1.38245409676665
592,62,2,0,2.509,2.29,2.29,0,"FNT","B","RG","MD",0,0,1,"winter",1.65684118948214
592,63,1,0,3.457,3.29,3.29,0,"FNT","B","RG","LR",0,0,1,"winter",1.38323034996181
592,65,3,0,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.37791115966815
592,66,3,0,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.38018274618444
592,72,0,0,1.928,0,0,0,"GEN","S","UN","LR",0,0,1,"winter",0.263794631045763
592,78,0,0,3.169,0,0,0,"PRL","B","RG","XL",0,0,1,"winter",-0.147089232707594
592,80,2,0,1.109,1.09,1.09,0,"PRL","B","RG","SM",0,0,1,"winter",1.17201845917966
592,82,1,0,1.49,1.49,1.49,0,"PRL","B","RG","MD",0,0,1,"winter",1.12251439836649
592,88,0,0,1.19,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.345772816023326
